_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category,Action Labels,Report Labels,Insert Datetime
684997d89b5e602eb0072ffa,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Customer Retail And Foodservice Members,Retail And Other Distribution Of Food,Sales And Retail,Sales And Retail,Sales and Retail 003,Sales and Retail 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072ffb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in setting commitments and actions for food waste reduction in line with the SDGs.,Customer Retail And Foodservice Members,United Nations Sustainable Development Goals,Sales And Retail,International Organisation,Sales and Retail 003,International organisation 021,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072ffc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),No relevant context found.,Customer Retail And Foodservice Members,Customer Retail And Foodservice Members,Sales And Retail,Sales And Retail,Sales and Retail 003,Sales and Retail 003,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072ffd,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,National Waste Prevention Programme,Environmental Protection Agency,Sales And Retail,State Agencies ,"Department of Environment, Climate and Communications 010",State Agencies  001,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072ffe,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Households are actively involved in the programme through their contribution to food waste generation and prevention efforts.,National Waste Prevention Programme,Households,Sales And Retail,Civil Society,"Department of Environment, Climate and Communications 010",Civil Society 007,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fff,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste reduction efforts as part of the National Food Waste Prevention Roadmap.,National Waste Prevention Programme,Processing And Manufacturing Sector,Sales And Retail,Processors,"Department of Environment, Climate and Communications 010",Processors 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073000,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,National Waste Prevention Programme,Restaurants,"Department Of Environment, Climate And Communications",Sales And Retail,"Department of Environment, Climate and Communications 010",Sales and Retail 009,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073001,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,National Waste Prevention Programme,Food Service Providers,"Department Of Environment, Climate And Communications",Sales And Retail,"Department of Environment, Climate and Communications 010",Sales and Retail 005,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073002,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,National Waste Prevention Programme,Primary Producers,"Department Of Environment, Climate And Communications",Small Producers,"Department of Environment, Climate and Communications 010",Producers 032,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073003,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),No relevant context found.,National Waste Prevention Programme,Retail And Other Distribution Of Food,"Department Of Environment, Climate And Communications",Sales And Retail,"Department of Environment, Climate and Communications 010",Sales and Retail 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073004,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in setting and monitoring commitments for food waste reduction in line with the Sustainable Development Goals.,National Waste Prevention Programme,United Nations,"Department Of Environment, Climate And Communications",International Organisation,"Department of Environment, Climate and Communications 010",International organisation 019,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073005,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in establishing and monitoring the National Food Waste Prevention Roadmap to meet commitments on food waste reduction.,National Waste Prevention Programme,European Union,"Department Of Environment, Climate And Communications",International Organisation,"Department of Environment, Climate and Communications 010",International organisation 008,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073006,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Environmental Protection Agency,"Department Of Environment, Climate And Communications",State Agencies ,State Agencies  001,State Agencies  001,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073007,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Households,"Department Of Environment, Climate And Communications",Civil Society,State Agencies  001,Civil Society 007,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073008,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Processing And Manufacturing Sector,"Department Of Environment, Climate And Communications",Processors,State Agencies  001,Processors 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073009,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Restaurants,State Agencies ,Sales And Retail,State Agencies  001,Sales and Retail 009,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300a,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Food Service Providers,State Agencies ,Sales And Retail,State Agencies  001,Sales and Retail 005,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300b,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Primary Producers,State Agencies ,Small Producers,State Agencies  001,Producers 032,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300c,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Retail And Other Distribution Of Food,State Agencies ,Sales And Retail,State Agencies  001,Sales and Retail 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300d,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,United Nations,State Agencies ,International Organisation,State Agencies  001,International organisation 019,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300e,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,European Union,State Agencies ,International Organisation,State Agencies  001,International organisation 008,2025-06-11T15:51:04.974Z
684997d89b5e602eb007300f,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Origin Green,Environmental Protection Agency,State Agencies ,State Agencies ,"Branding, Marketing and Distribution 005",State Agencies  001,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073010,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Households are actively involved in the programme through their contribution to food waste generation and prevention efforts.,Origin Green,Households,State Agencies ,Civil Society,"Branding, Marketing and Distribution 005",Civil Society 007,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073011,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Origin Green,Processing And Manufacturing Sector,State Agencies ,Processors,"Branding, Marketing and Distribution 005",Processors 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073012,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Restaurants are involved in the programme as a key sector contributing to food waste reduction efforts.,Origin Green,Restaurants,"Branding, Marketing And Distribution",Sales And Retail,"Branding, Marketing and Distribution 005",Sales and Retail 009,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073013,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Origin Green,Food Service Providers,"Branding, Marketing And Distribution",Sales And Retail,"Branding, Marketing and Distribution 005",Sales and Retail 005,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073014,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Origin Green,Primary Producers,"Branding, Marketing And Distribution",Small Producers,"Branding, Marketing and Distribution 005",Producers 032,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073015,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),No relevant context found.,Origin Green,Retail And Other Distribution Of Food,"Branding, Marketing And Distribution",Sales And Retail,"Branding, Marketing and Distribution 005",Sales and Retail 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073016,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in setting targets and actions for food waste reduction in alignment with the SDGs.,Origin Green,United Nations Sustainable Development Goals,"Branding, Marketing And Distribution",International Organisation,"Branding, Marketing and Distribution 005",International organisation 021,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073017,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency (EPA) is actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Food Processors,Environmental Protection Agency,"Branding, Marketing And Distribution",State Agencies ,Processors 005,State Agencies  001,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073018,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),"Households are a key focus in the National Food Waste Prevention Roadmap, contributing significantly to food waste reduction efforts.",Food Processors,Households,"Branding, Marketing And Distribution",Civil Society,Processors 005,Civil Society 007,2025-06-11T15:51:04.974Z
684997d89b5e602eb0073019,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste reduction efforts as part of the National Food Waste Prevention Roadmap.,Food Processors,Processing And Manufacturing Sector,"Branding, Marketing And Distribution",Processors,Processors 005,Processors 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb007301a,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Restaurants,National Processors,Sales And Retail,Processors 005,Sales and Retail 009,2025-06-11T15:51:04.974Z
684997d89b5e602eb007301b,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Food Processors,Food Service Providers,National Processors,Sales And Retail,Processors 005,Sales and Retail 005,2025-06-11T15:51:04.974Z
684997d89b5e602eb007301c,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Primary Producers,National Processors,Small Producers,Processors 005,Producers 032,2025-06-11T15:51:04.974Z
684997d89b5e602eb007301d,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Retail And Other Distribution Of Food,National Processors,Sales And Retail,Processors 005,Sales and Retail 010,2025-06-11T15:51:04.974Z
684997d89b5e602eb007301e,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Actively involved in promoting and supporting the Origin Green programme through the Gold Membership initiative.,Bord Bia The Irish Food Board,Bord Bia The Irish Food Board,National Processors,"Branding, Marketing And Distribution","Branding, Marketing and Distribution 001","Branding, Marketing and Distribution 001",2025-06-11T15:51:04.974Z
684997d89b5e602eb007301f,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Mabbett is involved as an independent verification authority assessing sustainability targets for the Origin Green programme.,Bord Bia The Irish Food Board,Mabbett,National Processors,Research And Regulatory,"Branding, Marketing and Distribution 001",Research and Regulatory 052,2025-06-11T15:51:04.974Z
