RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,Insert Datetime
Encourage Foreign Direct Investment(FDI) in Agri-food sector to locate in Ireland,Encourage FDI in agri-food,EI and IDA will cooperate to target a select number of multinational clients for large mobile investments.,Target multinational mobile investments,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Encourage Foreign Direct Investment(FDI) in Agri-food sector to locate in Ireland,Encourage FDI in agri-food,EI and IDA will cooperate to target a select number of multinational clients for large mobile investments.,Target multinational mobile investments,Industrial Development Authority,State Agencies And Local Authorities,State Agencies and Local Authorities 002,2025-06-19T12:33:35.895Z
Encourage Foreign Direct Investment(FDI) in Agri-food sector to locate in Ireland,Encourage FDI in agri-food,EI to explore FDI opportunities via partnerships and Joint Venture approaches between Irish processors and MNCs in particular in areas such as life-stage nutrition,Explore FDI via partnerships,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Encourage Foreign Direct Investment(FDI) in Agri-food sector to locate in Ireland,Encourage FDI in agri-food,EI to explore FDI opportunities via partnerships and Joint Venture approaches between Irish processors and MNCs in particular in areas such as life-stage nutrition,Explore FDI via partnerships,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
"Develop communications, transport and logistics infrastructure to improve competitiveness",Develop infrastructure for competitiveness,"DAFM, as part of interdepartmental and stakeholder initiatives such as the National Competiveness Council, to promote the need to develop rural broadband, port, road and airport infrastructure development.",Promote rural infrastructure development,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Develop communications, transport and logistics infrastructure to improve competitiveness",Develop infrastructure for competitiveness,"DAFM, as part of interdepartmental and stakeholder initiatives such as the National Competiveness Council, to promote the need to develop rural broadband, port, road and airport infrastructure development.",Promote rural infrastructure development,National Competitiveness And Productivity Council,Research And Regulatory,Research and Regulatory 059,2025-06-19T12:33:35.895Z
"Develop communications, transport and logistics infrastructure to improve competitiveness",Develop infrastructure for competitiveness,Industry to conduct a study into improving transportation and logistics links with the UK market for Irish Agri-Food and beverage companies to identify opportunities to increase supply chain efficiency and reduce costs.,Study transport and logistics improvements,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Develop on-farm diversification,Develop on-farm diversification,Teagasc â€˜Optionsâ€™ programme to continue to support on-farm diversification measures and programme impacts to be monitored and measured.,Support on-farm diversification programme,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Develop on-farm diversification,Develop on-farm diversification,DAFM to roll out female entrepreneur development programme,Roll out female entrepreneur programme,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Develop on-farm diversification,Develop on-farm diversification,"To complement the current Marine Leisure and Tourism schemes, DAFM in conjunction with stakeholders to develop an agri-food tourism measure with an emphasis on food, beverage and eco-trails pairings.",Develop agri-food tourism measure,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM, Bord Bia and EI to explore synergies and priorities for the deployment of human resources in specific markets, including possibilities for relocation, new posts and new offices based on market prioritisation which considers growth possibilities, consumer insights, political stability of regions/countries and the market access regulatory environment.",Explore HR deployment market priorities,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM, Bord Bia and EI to explore synergies and priorities for the deployment of human resources in specific markets, including possibilities for relocation, new posts and new offices based on market prioritisation which considers growth possibilities, consumer insights, political stability of regions/countries and the market access regulatory environment.",Explore HR deployment market priorities,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM and agri-food state agencies to enhance linkages with other government agencies including Department of Foreign Affairs and Trade embassy network, IDA, DJEI â€“ Tourism Ireland and leverage the resources in these agencies to support the Irish agri-food sector in accessing new markets.",Enhance linkages with government agencies,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM and agri-food state agencies to enhance linkages with other government agencies including Department of Foreign Affairs and Trade embassy network, IDA, DJEI â€“ Tourism Ireland and leverage the resources in these agencies to support the Irish agri-food sector in accessing new markets.",Enhance linkages with government agencies,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM and agri-food state agencies to enhance linkages with other government agencies including Department of Foreign Affairs and Trade embassy network, IDA, DJEI â€“ Tourism Ireland and leverage the resources in these agencies to support the Irish agri-food sector in accessing new markets.",Enhance linkages with government agencies,Industrial Development Authority,State Agencies And Local Authorities,State Agencies and Local Authorities 002,2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM and agri-food state agencies to enhance linkages with other government agencies including Department of Foreign Affairs and Trade embassy network, IDA, DJEI â€“ Tourism Ireland and leverage the resources in these agencies to support the Irish agri-food sector in accessing new markets.",Enhance linkages with government agencies,"Department Of Jobs, Enterprise And Innovation","Department Of Jobs, Enterprise And Innovation","Department of Jobs, Enterprise and Innovation 001",2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,"DAFM and agri-food state agencies to enhance linkages with other government agencies including Department of Foreign Affairs and Trade embassy network, IDA, DJEI â€“ Tourism Ireland and leverage the resources in these agencies to support the Irish agri-food sector in accessing new markets.",Enhance linkages with government agencies,Tourism Ireland,Semi-State Agency,Semi-state agency 013,2025-06-19T12:33:35.895Z
"State Agencies to review the deployment of human resources in overseas locations to maximise support for trade development and realisation of market opportunities, in consultation with industry stakeholders.",Review overseas staffing for trade support,DAFM to review and assess the assignment of Agri-food AttachÃ© posts in the context of supporting industry trade development opportunities and priorities.,Review Agri-food Attaché assignments,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
State Agencies to support market prioritisation and targeting.,State Agencies to support market prioritisation and targeting.,DAFM to optimise the use of strategic trade missions to emerging markets to ensure market entry conversion.,Optimise strategic trade missions,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Government Departments and State Agencies to enhance cooperation on promoting Irelandâ€™s positioning in emerging export markets,Enhance cooperation for export promotion,"Establish an interdepartmental group to develop complementary approaches across Government agencies to promote â€˜Irelandâ€™ in emerging distant markets and to promote synergies between Irish tourism, agri-food and culture.",Establish interdepartmental promotion group,Tourism Ireland,Semi-State Agency,Semi-state agency 013,2025-06-19T12:33:35.895Z
Government Departments and State Agencies to enhance cooperation on promoting Irelandâ€™s positioning in emerging export markets,Enhance cooperation for export promotion,"DAFM to explore with relevant state agencies measures to better link in the agri-food sector with the experience of tourists, including the promotion of food, beverages and marine trails.",Explore linking agri-food tourism,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,"DAFM, in consultation with stakeholders, to formulate a National Farmed Animal Health Strategy for Ireland which will provide the framework for an evidence based, co-ordinated and collaborative approach to animal health matters in support of on-farm productivity, processor efficiency and export markets.",Formulate National Animal Health Strategy,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,"DAFM and industry to build on the recent substantive progress towards the eradication of bovine Tuberculosis, by setting an ambitious target of eradicating tuberculosis from the cattle herd in Ireland by 2030.",Target bovine tuberculosis eradication,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,"Reflecting the need for strong leadership and involvement by all stakeholders in sustaining such progress and pursuing this objective, a high level national industry forum will be put in place to provide coordinated industry leadership in support of the DAFM executive team. The forum composition will represent the interests of farmers, industry, and government. Its role will be to review the strategic programme on an ongoing basis, facilitate agreement on appropriate new programme measures and targets and ensure the constructive participation by all parties in sustaining progress towards eradication.",Establish national TB leadership forum,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,Industry and state agencies continue to enhance support for Animal Health Ireland and agree an equitable sustainable funding model that will sustain the organisation over next ten years.,Enhance support for Animal Health,Animal Health Ireland,Research And Regulatory,Research and Regulatory 013,2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,AHI and relevant stakeholders to address already identified animal health related production inefficiencies associated with endemic disease on Irish farms by:,Address animal health inefficiencies,Animal Health Ireland,Research And Regulatory,Research and Regulatory 013,2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,DAFM to support the carrying out an economic appraisal by Teagasc of the benefit/costs of implementing a compulsory national IBR eradication programme for consideration by AHI and its stakeholders with the expectation that if the outcome shows a favourable return on resource deployed that a national eradication programme will be initiated by 2019.,Support economic appraisal IBR eradication,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,DAFM to support the carrying out an economic appraisal by Teagasc of the benefit/costs of implementing a compulsory national IBR eradication programme for consideration by AHI and its stakeholders with the expectation that if the outcome shows a favourable return on resource deployed that a national eradication programme will be initiated by 2019.,Support economic appraisal IBR eradication,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,DAFM to support the carrying out an economic appraisal by Teagasc of the benefit/costs of implementing a compulsory national IBR eradication programme for consideration by AHI and its stakeholders with the expectation that if the outcome shows a favourable return on resource deployed that a national eradication programme will be initiated by 2019.,Support economic appraisal IBR eradication,Animal Health Ireland,Research And Regulatory,Research and Regulatory 013,2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,"DAFM and industry to progress and improve the return to producers and their advisors relevant data arising from ante and post mortem inspection at meat plants, in support of optimising on-farm productivity, through improved animal health.",Improve data to optimise productivity,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,"Recognising global societal concerns relating to the threat to human and animal health of anti-microbial resistance, and in that context, the need to ensure prudent use of anti-microbials in animal production systems, DAFM will, in consultation with stakeholders, continue to advance its action plan and develop implementation strategies for veterinary practitioners and farmers in relation to anti-microbial usage.",Advance antimicrobial prudent usage strategies,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,DAFM should enjoin industry stakeholders to enhance existing systems for surveillance of animal diseases to facilitate early detection of new/emerging and exotic disease and to provide a more robust evidence base substantiating marketing claims about the animal health and welfare status of the national herd/flock and supporting disease control at farm level.,Enhance animal disease surveillance systems,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,MI to support actions that promote an expanded range of treatments for pests in salmon fisheries.,Support expanded salmon pest treatments,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
"Continue to enhance and support Irelandâ€™s animal health status and reputation for producing safe, high quality food.",Enhance animal health and safety,MI to support actions that promote an expanded range of treatments for pests in salmon fisheries.,Support expanded salmon pest treatments,Irish National Inshore Fisheries Forum,Trade Association,Trade Association 014,2025-06-19T12:33:35.895Z
At producer level prioritise research and innovation investment in processes and technologies which improve productivity and sustainability of production.,Prioritise producer-level research investment,"The primary production research activities of national research bodies, including Teagasc and academia, to be focussed on grass land productivity, animal breeding/genetics, soil nutrient usage, animal health improvements, crop production, economic analysis of Irish agriculture, food ingredient, product and process innovation.",Focus research on agriculture productivity,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
At producer level prioritise research and innovation investment in processes and technologies which improve productivity and sustainability of production.,Prioritise producer-level research investment,"Teagasc in collaboration with relevant HEIs and others to research emerging precision technologies, data analytics, sensor technology, DNA technology and possibilities for mining big data to improve decision making, availing of existing resources and capabilities.",Research precision technologies and analytics,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,DAFM through the FIRM programme to further collaborate with Enterprise Ireland and other resercgh funding providers to ensure the required spectrum of agri-food research activity is funded to develop the underlining technologies and capabilities which can be leveraged to create commercial outputs and facilitate involvement in externally funded initiatives notably the EU Horizon 2020 RTD programme.,Collaborate to fund agri-food research,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,DAFM through the FIRM programme to further collaborate with Enterprise Ireland and other resercgh funding providers to ensure the required spectrum of agri-food research activity is funded to develop the underlining technologies and capabilities which can be leveraged to create commercial outputs and facilitate involvement in externally funded initiatives notably the EU Horizon 2020 RTD programme.,Collaborate to fund agri-food research,Food Institutional Research Measure Programme,Research And Regulatory,Research and Regulatory 036,2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,DAFM through the FIRM programme to further collaborate with Enterprise Ireland and other resercgh funding providers to ensure the required spectrum of agri-food research activity is funded to develop the underlining technologies and capabilities which can be leveraged to create commercial outputs and facilitate involvement in externally funded initiatives notably the EU Horizon 2020 RTD programme.,Collaborate to fund agri-food research,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,DAFM through the FIRM programme to further collaborate with Enterprise Ireland and other resercgh funding providers to ensure the required spectrum of agri-food research activity is funded to develop the underlining technologies and capabilities which can be leveraged to create commercial outputs and facilitate involvement in externally funded initiatives notably the EU Horizon 2020 RTD programme.,Collaborate to fund agri-food research,European Union Horizon 2020 Research And Innovation Programme,International Organisation,International organisation 010,2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,"Create a virtual multi- campus centre of excellence for seafood development in Ireland, including BIMâ€™s Seafood Development Centre, Teagascâ€™s Ashtown facility and third level institutes, to provide a co_x0002_ordinated, seamless product development experience for seafood entrepreneurs.",Create virtual seafood development centre,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,"Create a virtual multi- campus centre of excellence for seafood development in Ireland, including BIMâ€™s Seafood Development Centre, Teagascâ€™s Ashtown facility and third level institutes, to provide a co_x0002_ordinated, seamless product development experience for seafood entrepreneurs.",Create virtual seafood development centre,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,DAFM in conjunction with state agencies and industry partners to develop a â€œSMART NAUTRIENTSâ€ research programme to support high value products from seafood.,Develop SMART NAUTRIENTS research programme,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,"DAFM, Marine Institute and Industry to develop further research programmes on the potential of marine species of fish, shellfish and seaweed as possible high value sources of pharmaceutical, cosmetic and renewal energy products",Develop marine species research programmes,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Improve coordination between Industry, State Agencies and Research Institutions to support the delivery of research which will deliver commercial outputs and products.",Coordinate research for commercial outputs,"DAFM, Marine Institute and Industry to develop further research programmes on the potential of marine species of fish, shellfish and seaweed as possible high value sources of pharmaceutical, cosmetic and renewal energy products",Develop marine species research programmes,Marine Institute,Research And Regulatory,Research and Regulatory 054,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Teagasc to develop proposals for a Food Innovation Hub at its Moorepark campus to promote greater collaboration between industry and public research, and deliver a step change in innovation activity in the food industry.",Develop Food Innovation Hub proposals,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Teagasc will lead research in collaboration with other research institutions and industry to derive applications from the significant state investment in foods for health. This will build on initiatives such as the APC, FHI, and Nutramara.",Lead research on foods health,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Teagasc will lead research in collaboration with other research institutions and industry to derive applications from the significant state investment in foods for health. This will build on initiatives such as the APC, FHI, and Nutramara.",Lead research on food health,Association For Progressive Communications,Telecommunications And Financial Services,Telecommunications and Financial Services 003,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Teagasc will lead research in collaboration with other research institutions and industry to derive applications from the significant state investment in foods for health. This will build on initiatives such as the APC, FHI, and Nutramara.",Lead research on food health,Family Health International,Ngo,NGO 013,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Teagasc and the dairy industry to complete the â‚¬10 million upgrade of Moorepark Technology Limited pilot plant.,Complete Moorepark pilot plant upgrade,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Enterprise Ireland will create an FDI and Innovation Portal to improve connectivity across the Irish innovation system for Food and beverage companies.,Create FDI innovation portal,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Enterprise Ireland to continue to support the evolution of FHI and DPTC to allow the centre to realise long term full potential,Support evolution of FHI/DPTC,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Enterprise Ireland to continue to support the evolution of FHI and DPTC to allow the centre to realise long term full potential,Support evolution of FHI/DPTC,Family Health International,Ngo,NGO 013,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Enterprise Ireland to continue to support the evolution of FHI and DPTC to allow the centre to realise long term full potential,Support evolution of FHI/DPTC,Dairy Processing Technology Centre,Research And Regulatory,Research and Regulatory 025,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland to develop the Meat Technology Centre initiative in association with meat industry, DAFM, Teagasc and academia, with a view to launching in early 2016.",Develop Meat Technology Centre,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland to develop the Meat Technology Centre initiative in association with meat industry, DAFM, Teagasc and academia, with a view to launching in early 2016.",Develop Meat Technology Centre,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland to develop the Meat Technology Centre initiative in association with meat industry, DAFM, Teagasc and academia, with a view to launching in early 2016.",Develop Meat Technology Centre,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland will continue to engage with Industry, DAFM, research providers and other relevant stakeholders to establish a food/test incubation technology centre of excellence to support PCF, Beverage and Horticulture sectors with a focus on pilot stage production, packaging innovation, product reformulation and be a portal to global best practice research data of interest to these sectors.",Establish food incubation centre,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland will continue to engage with Industry, DAFM, research providers and other relevant stakeholders to establish a food/test incubation technology centre of excellence to support PCF, Beverage and Horticulture sectors with a focus on pilot stage production, packaging innovation, product reformulation and be a portal to global best practice research data of interest to these sectors.",Establish food incubation centre,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"Enterprise Ireland will continue to engage with Industry, DAFM, research providers and other relevant stakeholders to establish a food/test incubation technology centre of excellence to support PCF, Beverage and Horticulture sectors with a focus on pilot stage production, packaging innovation, product reformulation and be a portal to global best practice research data of interest to these sectors.",Establish food incubation centre,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Industry and EI should continue to drive an industry-led network of Irish Agri-food companies which access Research Bodies in a collaborative/partnership manner on specific innovation/research challenges.,Drive industry-led research network,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,Industry and EI should continue to drive an industry-led network of Irish Agri-food companies which access Research Bodies in a collaborative/partnership manner on specific innovation/research challenges.,Drive industry-led research network,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,"The DAFM funded Agri-Food Graduate Development Programme to continue to upskill agri-food graduates for employment through enhancing industrial knowledge, business and personnel management, leadership, communication and advanced research and innovation skills.",Continue upskilling agri-food graduates,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,DAFM to continue to partner with the Irish Research Councilâ€™s employment-based Research Programme to facilitate the placement of post-graduate research students in agri-food enterprises.,Continue partnering for student placements,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improve capacity of Agri-food companies to absorb Research and innovation output from Research bodies,Improve research absorption by companies,DAFM to continue to partner with the Irish Research Councilâ€™s employment-based Research Programme to facilitate the placement of post-graduate research students in agri-food enterprises.,Continue partnering for student placements,Irish Research Council,Research And Regulatory,Research and Regulatory 051,2025-06-19T12:33:35.895Z
Dairy,Dairy,Industry stakeholders need to ensure that sexed semen continues to be rolled out to Irish dairy farmers and that continued research in the technology is undertaken,Ensure rollout of sexed semen,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Dairy,Dairy,"Engagement by processors, producers and the Department with the Milk Market Observatory should be enhanced",Enhance engagement with Milk Observatory,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Dairy,Dairy,"Engagement by processors, producers and the Department with the Milk Market Observatory should be enhanced",Enhance engagement with Milk Observatory,Milk Market Observatory,Research And Regulatory,Research and Regulatory 057,2025-06-19T12:33:35.895Z
Dairy,Dairy,The Sustainable Dairy Assurance Scheme (SDAS) must include all dairy farmers as an immediate priority,Include all farmers in SDAS,Sustainable Dairy Assurance Scheme,Research And Regulatory,Research and Regulatory 084,2025-06-19T12:33:35.895Z
Beef,Beef,Review mechanism for linking the knowledge developed on Teagasc/Farmerâ€™s Journal BETTER Farm Beef Programme and the new Suckler Cow demonstration farm in Athenry with widespread application at farm level,Review linking of beef knowledge,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Beef,Beef,"Dedicated and adequately resourced DAFM beef market access team to identify, develop, reinforce and secure new third country markets as well as supporting the trade in live exports",Develop and secure new beef markets,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Beef,Beef,"Defend interests of the Irish beef sector in international trade agreements pursued by the EU, particularly in light of competitive threat posed by the US and Mercosur",Defend Irish beef in trade agreements,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
