_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
6849667a9b5e602eb0072ae2,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae3,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 003",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae4,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae5,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Creamery Milk Suppliers Association,Trade Association,Trade Association 011,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae6,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association,Trade Association 021,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae7,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Natura and Hill Farmers Association,Trade Association,Trade Association 015,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae8,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae9,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Food Safety Authority of Ireland,Research and Regulatory,Research and Regulatory 037,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aea,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Food Safety Authority of Ireland,Research and Regulatory,Research and Regulatory 037,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aeb,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Environmental Protection Agency,Research and Regulatory,State Agencies  001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aec,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Sustainable Energy Authority of Ireland,State Agencies ,Semi-state agency  011,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aed,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Science Foundation Ireland,Semi-state agency ,Research and Regulatory 073,2025-06-11T12:20:26.020Z
